S.No,Code,Subject,Credit
1,IT 701,Information Theory & Coding,4
2,IT 702,Multimedia,3
3,IT 710-719,Departmental Elective - 1,3
4,IT 720-729,Departmental Elective - 2,3
5,IT 751,Algorithms Laboratory,2
6,IT 752,Simulation Laboratory,2
7,IT 753,Seminar - 1,1
8,IT 754,Project Work,3
9,IT 755,Vocational Training/Summer Internship (after 6th semester),1
,,Total,22
