S.No,Code,Subject,Credit
1,MS 631,Principles of Management,3
2,IT 601,Object Oriented Technology,4
3,IT 602,Principle of Language Translation,3
4,IT 603,Software Engineering,3
5,IT 604,Internet and Web Technology,3
6,IT 651,Object Oriented Technology Laboratory,2
7,IT 652,Internet and Web Technology Laboratory,2
8,HS 683,Professional Communication,2
,,Total,22
