S.No,Code,Subject,Credit
1,PH 01,Engineering Physics,3
2,CY 01,Engineering Chemistry,3
3,ES 01,Environmental Studies,2
4,HS 01,English,3
5,PH 51,Physics Laboratory,1
6,CY 51,Chemistry Laboratory,1
7,MA 01,Mathematics -1,3
8,EM 01,Engineering Mechanics,3
9,EG 51,Engineering graphics,3
10,WS 51,Workshop Practice -1,2
11,EA 51,Co-Curricular Activities,1
,,Total,25
