S.No,Code,Subject,Credit
1,MA 03,Mathematics - 3,3
2,IT 301,Data Structure and Algorithms,4
3,IT 302,Computational Mathematics,3
4,PH 333,Quantum Physics,3
5,EC 334,Analog Electronics Device and Circuits,3
6,IT 351,Data Structure Laboratary,2
7,PH 383,Advance Physics Laboratory,2
8,EC 384,Electronics Device and Circuit Lab,2
,,Total,22
