S.No,Code,Subject,Credit
1,IT 401,Computer Organisation & Architecture,4
2,IT 402,Communication Systems,3
3,IT 403,Data Base Management System,3
4,IT 404,Operating System,3
5,EC 432,Digital Electronics,3
6,IT 451,Operating System Laboratory,2
7,IT 452,Data Base Management System Laboratory,2
8,EC 482,Digital Electronics Laboratory,2
,,Total,22
