S.No,Code,Subject,Credit
1,IT 501,Microprocessor,4
2,IT 502,Theory of Computation,3
3,IT 503,Computer Networks ,3
4,IT 504,Design and Analysis of Algorithms,3
5,YY 54*,Open Elective -  1,3
6,IT 551,Microprocessor Laboratory,2
7,IT 552,Communication Laboratory,2
8,IT 553,Computer Networks Laboratory,2
,,Total,22
